manufacturer,model,serial number,manufactured_date,device_type,manufactured_date_source,manufactured_date_confidence,manufactured_date_precision,manufactured_date_explanation,device_type_source,device_type_confidence,device_type_explanation
GE HEALTHCARE,APEX PRO CH,RTS14104454GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RTS14104453GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RTS14104456GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RTS14104450GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166339GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166315GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166362GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166321GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166380GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166373GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166320GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166336GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166372GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914126176GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914166337GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,APEX PRO CH,RT914126178GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314358024GA,2014-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 14.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314326586GA,2014-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 14.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
ZOLL Medical,M SERIES,T14E133852,2014-05-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=14, month=E.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T14F133985,2014-06-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=14, month=F.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
Edan Instruments,IM50,3331333-M14900008,2014-09-01,Patient Monitor,edan_serial_parser,high,month,Decoded trailing Edan serial core M14900008 as year=14 and month_code=9.,openai_generated_model_type_map,high,Edan iM50 is a patient monitor.
Edan Instruments,SE1200EXPRESS,M14B08690005,2014-11-01,ECG Machine,edan_serial_parser,high,month,Decoded trailing Edan serial core M14B08690005 as year=14 and month_code=B.,openai_generated_model_type_map,high,Edan SE-1200 Express is an ECG machine.
Unico,G380PL LED,G38L-20141208,2014-12-08,Microscope,unico_serial_parser,high,day,Decoded embedded Unico date token 20141208.,openai_generated_model_type_map,high,Unico G380PL LED is a microscope model.
Welch Allyn,SPOT VITAL SIGNS,201507871,2015-01-01,Patient Monitor,welch_spot_year_parser,high,year,Decoded Welch Allyn Spot Vital Signs 9-digit serial format from the leading manufacture year 2015.,openai_generated_model_type_map,medium,Welch Allyn Spot Vital Signs captures multiple vital signs and is grouped under patient monitors rather than a single-function blood pressure device.
Welch Allyn,SPOT VITAL SIGNS,201507902,2015-01-01,Patient Monitor,welch_spot_year_parser,high,year,Decoded Welch Allyn Spot Vital Signs 9-digit serial format from the leading manufacture year 2015.,openai_generated_model_type_map,medium,Welch Allyn Spot Vital Signs captures multiple vital signs and is grouped under patient monitors rather than a single-function blood pressure device.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315208552GA,2015-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 15.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
